match_id,series_id,match_details,result,Team1,Score1,Team2,Score2,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs
729303,695871,"13th match:CSK v MI at Dubai (DSC)- Apr 25, 2014",CSK won by 7 wickets,MI,141,CSK,142,25/04/14,Dubai (DSC),13th match,CSK,MI,CSK,,7,,MI,141,7,20,20,CSK,142,3,19,20
729305,695871,"14th match:RR v RCB at Abu Dhabi- Apr 26, 2014",RR won by 6 wickets,RCB,70,RR,71,26/04/14,Abu Dhabi,14th match,RR,RCB,RR,,6,,RCB,70,10,15,20,RR,71,4,13,20
729307,695871,"15th match:KKR v KXIP at Abu Dhabi- Apr 26, 2014",KXIP won by 23 runs,KXIP,132,KKR,109,26/04/14,Abu Dhabi,15th match,KKR,KXIP,KXIP,23,,,KXIP,132,9,20,20,KKR,109,10,18.2,20
729309,695871,"16th match:DD v MI at Sharjah- Apr 27, 2014",DD won by 6 wickets,MI,125,DD,126,27/04/14,Sharjah,16th match,DD,MI,DD,,6,,MI,125,6,20,20,DD,126,4,18.5,20
729311,695871,"17th match:SRH v CSK at Sharjah- Apr 27, 2014",CSK won by 5 wickets,SRH,145,CSK,146,27/04/14,Sharjah,17th match,SRH,CSK,CSK,,5,,SRH,145,5,20,20,CSK,146,5,19.3,20
729313,695871,"18th match:KXIP v RCB at Dubai (DSC)- Apr 28, 2014",KXIP won by 5 wickets,RCB,124,KXIP,127,28/04/14,Dubai (DSC),18th match,KXIP,RCB,KXIP,,5,,RCB,124,8,20,20,KXIP,127,5,18.5,20
729315,695871,"19th match:KKR v RR at Abu Dhabi- Apr 29, 2014",Match tied (RR won the one-over eliminator),RR,152,KKR,152,29/04/14,Abu Dhabi,19th match,KKR,RR,RR,,,,RR,152,5,20,20,KKR,152,8,20,20
729317,695871,"20th match:MI v SRH at Dubai (DSC)- Apr 30, 2014",SRH won by 15 runs,SRH,172,MI,157,30/04/14,Dubai (DSC),20th match,MI,SRH,SRH,15,,,SRH,172,5,20,20,MI,157,7,20,20
733971,695871,"21st match:CSK v KKR at Ranchi- May 2, 2014",CSK won by 34 runs,CSK,148,KKR,114,2/5/2014,Ranchi,21st match,CSK,KKR,CSK,34,,,CSK,148,3,17,17,KKR,114,9,17,17
733973,695871,"22nd match:MI v KXIP at Mumbai- May 3, 2014",MI won by 5 wickets,KXIP,168,MI,170,3/5/2014,Mumbai,22nd match,MI,KXIP,MI,,5,,KXIP,168,5,20,20,MI,170,5,19.1,20
733975,695871,"23rd match:DD v RR at Delhi- May 3, 2014",RR won by 7 wickets,DD,152,RR,156,3/5/2014,Delhi,23rd match,DD,RR,RR,,7,,DD,152,5,20,20,RR,156,3,18.3,20
733977,695871,"24th match:RCB v SRH at Bangalore- May 4, 2014",RCB won by 4 wickets,SRH,155,RCB,158,4/5/2014,Bangalore,24th match,RCB,SRH,RCB,,4,,SRH,155,6,20,20,RCB,158,6,19.5,20
733979,695871,"25th match:RR v KKR at Ahmedabad- May 5, 2014",RR won by 10 runs,RR,170,KKR,160,5/5/2014,Ahmedabad,25th match,RR,KKR,RR,10,,,RR,170,6,20,20,KKR,160,6,20,20
733981,695871,"26th match:DD v CSK at Delhi- May 5, 2014",CSK won by 8 wickets,DD,178,CSK,181,5/5/2014,Delhi,26th match,DD,CSK,CSK,,8,,DD,178,5,20,20,CSK,181,2,19.4,20
733983,695871,"27th match:MI v RCB at Mumbai- May 6, 2014",MI won by 19 runs,MI,187,RCB,168,6/5/2014,Mumbai,27th match,MI,RCB,MI,19,,,MI,187,5,20,20,RCB,168,8,20,20
733985,695871,"28th match:DD v KKR at Delhi- May 7, 2014",KKR won by 8 wickets,DD,160,KKR,161,7/5/2014,Delhi,28th match,DD,KKR,KKR,,8,,DD,160,5,20,20,KKR,161,2,18.2,20
733987,695871,"29th match:KXIP v CSK at Cuttack- May 7, 2014",KXIP won by 44 runs,KXIP,231,CSK,187,7/5/2014,Cuttack,29th match,KXIP,CSK,KXIP,44,,,KXIP,231,4,20,20,CSK,187,6,20,20
733989,695871,"30th match:RR v SRH at Ahmedabad- May 8, 2014",SRH won by 32 runs,SRH,134,RR,102,8/5/2014,Ahmedabad,30th match,RR,SRH,SRH,32,,,SRH,134,9,20,20,RR,102,10,19.5,20
733991,695871,"31st match:RCB v KXIP at Bangalore- May 9, 2014",KXIP won by 32 runs,KXIP,198,RCB,166,9/5/2014,Bangalore,31st match,RCB,KXIP,KXIP,32,,,KXIP,198,8,20,20,RCB,166,9,20,20
733993,695871,"32nd match:DD v SRH at Delhi- May 10, 2014",SRH won by 8 wickets (D/L method),DD,143,SRH,44,10/5/2014,Delhi,32nd match,DD,SRH,SRH,,8,,DD,143,7,20,20,SRH,44,2,4.2,5
733995,695871,"33rd match:MI v CSK at Mumbai- May 10, 2014",CSK won by 4 wickets,MI,157,CSK,160,10/5/2014,Mumbai,33rd match,MI,CSK,CSK,,4,,MI,157,6,20,20,CSK,160,6,19.3,20
733997,695871,"34th match:KXIP v KKR at Cuttack- May 11, 2014",KKR won by 9 wickets,KXIP,149,KKR,150,11/5/2014,Cuttack,34th match,KXIP,KKR,KKR,,9,,KXIP,149,8,20,20,KKR,150,1,18,20
733999,695871,"35th match:RCB v RR at Bangalore- May 11, 2014",RR won by 5 wickets,RCB,190,RR,191,11/5/2014,Bangalore,35th match,RCB,RR,RR,,5,,RCB,190,5,20,20,RR,191,5,18.5,20
734001,695871,"36th match:SRH v MI at Hyderabad (Deccan)- May 12, 2014",MI won by 7 wickets,SRH,157,MI,160,12/5/2014,Hyderabad (Deccan),36th match,SRH,MI,MI,,7,,SRH,157,3,20,20,MI,160,3,18.4,20
734003,695871,"37th match:CSK v RR at Ranchi- May 13, 2014",CSK won by 5 wickets,RR,148,CSK,149,13/05/14,Ranchi,37th match,CSK,RR,CSK,,5,,RR,148,8,20,20,CSK,149,5,19.4,20
734005,695871,"38th match:RCB v DD at Bangalore- May 13, 2014",RCB won by 16 runs,RCB,186,DD,170,13/05/14,Bangalore,38th match,RCB,DD,RCB,16,,,RCB,186,4,20,20,DD,170,7,20,20
734007,695871,"39th match:SRH v KXIP at Hyderabad (Deccan)- May 14, 2014",KXIP won by 6 wickets,SRH,205,KXIP,211,14/05/14,Hyderabad (Deccan),39th match,SRH,KXIP,KXIP,,6,,SRH,205,5,20,20,KXIP,211,4,18.4,20
734009,695871,"40th match:KKR v MI at Cuttack- May 14, 2014",KKR won by 6 wickets,MI,141,KKR,142,14/05/14,Cuttack,40th match,KKR,MI,KKR,,6,,MI,141,5,20,20,KKR,142,4,18.4,20
734011,695871,"41st match:RR v DD at Ahmedabad- May 15, 2014",RR won by 62 runs,RR,201,DD,139,15/05/14,Ahmedabad,41st match,RR,DD,RR,62,,,RR,201,6,20,20,DD,139,9,20,20
734013,695871,"42nd match:CSK v RCB at Ranchi- May 18, 2014",RCB won by 5 wickets,CSK,138,RCB,142,18/05/14,Ranchi,42nd match,CSK,RCB,RCB,,5,,CSK,138,4,20,20,RCB,142,5,19.5,20
734015,695871,"43rd match:SRH v KKR at Hyderabad (Deccan)- May 18, 2014",KKR won by 7 wickets,SRH,142,KKR,146,18/05/14,Hyderabad (Deccan),43rd match,SRH,KKR,KKR,,7,,SRH,142,8,20,20,KKR,146,3,19.4,20
734017,695871,"44th match:RR v MI at Ahmedabad- May 19, 2014",MI won by 25 runs,MI,178,RR,153,19/05/14,Ahmedabad,44th match,RR,MI,MI,25,,,MI,178,3,20,20,RR,153,8,20,20
734019,695871,"45th match:DD v KXIP at Delhi- May 19, 2014",KXIP won by 4 wickets,DD,164,KXIP,165,19/05/14,Delhi,45th match,DD,KXIP,KXIP,,4,,DD,164,7,20,20,KXIP,165,6,19.4,20
734021,695871,"46th match:SRH v RCB at Hyderabad (Deccan)- May 20, 2014",SRH won by 7 wickets,RCB,160,SRH,161,20/05/14,Hyderabad (Deccan),46th match,SRH,RCB,SRH,,7,,RCB,160,6,20,20,SRH,161,3,19.4,20
734023,695871,"47th match:KKR v CSK at Kolkata- May 20, 2014",KKR won by 8 wickets,CSK,154,KKR,156,20/05/14,Kolkata,47th match,KKR,CSK,KKR,,8,,CSK,154,4,20,20,KKR,156,2,18,20
734025,695871,"48th match:KXIP v MI at Mohali- May 21, 2014",MI won by 7 wickets,KXIP,156,MI,159,21/05/14,Mohali,48th match,KXIP,MI,MI,,7,,KXIP,156,8,20,20,MI,159,3,19,20
734027,695871,"49th match:KKR v RCB at Kolkata- May 22, 2014",KKR won by 30 runs,KKR,195,RCB,165,22/05/14,Kolkata,49th match,KKR,RCB,KKR,30,,,KKR,195,4,20,20,RCB,165,5,20,20
734029,695871,"50th match:CSK v SRH at Ranchi- May 22, 2014",SRH won by 6 wickets,CSK,185,SRH,189,22/05/14,Ranchi,50th match,CSK,SRH,SRH,,6,,CSK,185,3,20,20,SRH,189,4,19.4,20
